LI-8200,LI-8200,,LI-8200,CHAMBER,LI-870,LI-870,CHAMBER,CHAMBER,LI-8200
38.625410,99.920000,22343.450000,2024/02/07 15:00:35,0.188330,0.552350,0.579480,16.447890,18.746670,9
38.626400,99.910000,22343.450000,2024/02/07 15:02:01,0.198130,0.522750,0.574020,16.349790,18.286670,9
38.627400,99.920000,22343.450000,2024/02/07 15:03:27,0.202020,0.574160,0.707940,16.371450,17.995000,9
38.628980,99.920000,19684.430000,2024/02/07 15:05:44,0.243180,1.166500,1.166500,17.615510,17.559020,OC2
38.629980,99.930000,19684.430000,2024/02/07 15:07:10,0.250300,1.077950,1.077950,18.398840,17.843330,OC2
38.630970,99.920000,19684.430000,2024/02/07 15:08:36,0.248450,1.069710,1.069710,18.538750,18.230000,OC2
38.632870,99.930000,24552.150000,2024/02/07 15:11:20,0.220830,0.678570,0.721890,18.358950,18.400000,7
38.633870,99.930000,24552.150000,2024/02/07 15:12:46,0.257900,0.692860,0.813610,18.652950,18.600000,7
38.634850,99.910000,24552.150000,2024/02/07 15:14:11,0.262000,0.673640,0.848980,18.760870,18.600000,7
38.636370,99.920000,21978.910000,2024/02/07 15:16:22,0.348070,0.708450,0.708450,17.457320,18.786670,6
38.637350,99.910000,21978.910000,2024/02/07 15:17:47,0.355650,0.671930,0.721940,17.544750,18.900000,6
38.638330,99.920000,21978.910000,2024/02/07 15:19:12,0.355770,0.719820,0.793340,17.575080,18.900000,6
38.640070,99.920000,20199.080000,2024/02/07 15:21:42,0.297500,0.906980,0.906980,17.357680,18.950000,5
38.641050,99.910000,20199.080000,2024/02/07 15:23:07,0.301050,0.867690,0.867690,17.684890,19.236670,5
38.642040,99.910000,20199.080000,2024/02/07 15:24:32,0.303200,0.898970,0.898970,17.828500,19.300000,5
38.643460,99.930000,19834.540000,2024/02/07 15:26:35,0.352150,0.373740,0.477000,18.715060,19.225000,OC1
38.644460,99.900000,19834.540000,2024/02/07 15:28:01,0.353570,0.373320,0.373320,19.427250,18.573330,OC1
38.645440,99.890000,19834.540000,2024/02/07 15:29:26,0.355000,0.364790,0.396700,19.710240,18.200000,OC1
38.646890,99.910000,23630.070000,2024/02/07 15:31:31,0.267420,0.535920,0.593400,19.216140,18.000000,4
38.647880,99.920000,23630.070000,2024/02/07 15:32:57,0.273000,0.530340,0.617190,19.122670,18.000000,4
38.648870,99.930000,23630.070000,2024/02/07 15:34:22,0.275870,0.501840,0.501840,19.115370,18.000000,4
38.658980,99.900000,19984.640000,2024/02/07 15:48:56,0.211450,1.097290,1.189170,18.770550,17.590000,3
38.659970,99.890000,19984.640000,2024/02/07 15:50:21,0.214800,1.079930,1.208280,19.062220,17.990000,3
38.660960,99.900000,19984.640000,2024/02/07 15:51:47,0.214670,1.038350,1.058360,19.038340,18.266670,3
38.662420,99.940000,24402.050000,2024/02/07 15:53:53,0.157300,0.461150,0.495100,18.413630,18.226670,2
38.663400,99.910000,24402.050000,2024/02/07 15:55:18,0.363000,0.414390,0.527480,18.055990,17.915000,2
38.664400,99.920000,24402.050000,2024/02/07 15:56:44,0.364000,0.407000,0.447650,17.855670,17.443330,2
38.666080,99.890000,21700.140000,2024/02/07 15:59:09,0.240080,0.459440,0.512360,17.250950,17.271670,1
38.667070,99.900000,21700.140000,2024/02/07 16:00:35,0.337150,0.431140,0.458310,17.158800,17.300000,1
38.668070,99.880000,21700.140000,2024/02/07 16:02:01,0.338000,0.426000,0.426000,17.203520,17.241670,1
38.669570,99.890000,24766.590000,2024/02/07 16:04:11,0.201000,0.943500,0.943500,17.322480,17.200000,13
38.670570,99.880000,24766.590000,2024/02/07 16:05:37,0.273370,0.856800,0.856800,17.234780,16.963330,13
38.671560,99.890000,24766.590000,2024/02/07 16:07:03,0.275000,0.915520,0.915520,17.157120,16.800000,13
38.673090,99.910000,24187.610000,2024/02/07 16:09:15,0.184800,0.252940,0.302960,16.742620,16.700000,14
38.674090,99.910000,24187.610000,2024/02/07 16:10:41,0.233470,0.207980,0.276580,16.418660,16.653330,14
38.675080,99.920000,24187.610000,2024/02/07 16:12:07,0.236330,0.229770,0.305790,16.609740,16.500000,14
38.676740,99.880000,23329.860000,2024/02/07 16:14:30,0.360130,0.439630,0.452850,16.762090,16.326670,12
38.677720,99.890000,23329.860000,2024/02/07 16:15:55,0.362000,0.404190,0.449360,16.839050,16.748330,12
38.678720,99.880000,23329.860000,2024/02/07 16:17:21,0.362000,0.383250,0.426220,16.861930,16.800000,12
38.680150,99.900000,23415.630000,2024/02/07 16:19:25,0.283700,0.423620,0.487930,16.831560,17.193330,15
38.681130,99.890000,23415.630000,2024/02/07 16:20:50,0.287800,0.378940,0.385710,16.992190,17.300000,15
38.682130,99.870000,23415.630000,2024/02/07 16:22:16,0.290630,0.379020,0.379020,16.904200,17.300000,15
38.683800,99.890000,21978.910000,2024/02/07 16:24:40,0.276220,0.695130,0.695130,17.133740,17.000000,16
38.684780,99.880000,21978.910000,2024/02/07 16:26:05,0.279530,0.689690,0.707840,17.252580,17.000000,16
38.685780,99.890000,21978.910000,2024/02/07 16:27:31,0.279200,0.703660,0.740970,17.261350,16.800000,16
38.687400,99.900000,23115.420000,2024/02/07 16:29:51,0.336200,0.407670,0.493790,15.416010,16.760000,11
38.688390,99.890000,23115.420000,2024/02/07 16:31:17,0.340550,0.394900,0.394900,14.825420,16.360000,11
38.689390,99.890000,23115.420000,2024/02/07 16:32:43,0.341000,0.396100,0.430530,14.595480,16.086670,11
38.691090,99.910000,23694.400000,2024/02/07 16:35:10,0.170130,0.365930,0.365930,14.729650,15.553330,10
38.692070,99.920000,23694.400000,2024/02/07 16:36:35,0.237150,0.325860,0.508420,14.434780,15.370000,10
38.693070,99.920000,23694.400000,2024/02/07 16:38:01,0.238570,0.344030,0.366480,14.441760,15.086670,10
38.694470,99.910000,22257.680000,2024/02/07 16:40:02,0.123600,0.785040,0.785040,14.562490,15.000000,17
38.695470,99.920000,22257.680000,2024/02/07 16:41:29,0.208270,0.771520,0.771520,14.421800,14.893330,17
38.696460,99.910000,22257.680000,2024/02/07 16:42:54,0.215070,0.788910,0.896200,14.354680,14.653330,17
38.698080,99.920000,23694.400000,2024/02/07 16:45:14,0.264000,0.490210,0.498750,14.285860,14.320000,OC5
38.699090,99.920000,23694.400000,2024/02/07 16:46:41,0.328470,0.469900,0.525830,13.988920,14.076670,OC5
38.700070,99.920000,23694.400000,2024/02/07 16:48:06,0.330000,0.499160,0.499160,13.880450,13.866670,OC5
38.701840,99.890000,23973.170000,2024/02/07 16:50:39,0.334800,0.652250,0.739840,14.444040,13.800000,24
38.702840,99.900000,23973.170000,2024/02/07 16:52:05,0.338630,0.640910,0.691660,14.392810,13.736670,24
38.703830,99.910000,23973.170000,2024/02/07 16:53:31,0.339130,0.648330,0.650560,14.526100,13.686670,24
38.705300,99.910000,24616.480000,2024/02/07 16:55:38,0.314600,0.606210,0.683280,14.852110,13.540000,25
38.706300,99.920000,24616.480000,2024/02/07 16:57:04,0.318850,0.573840,0.678590,14.634450,13.885000,25
38.707290,99.910000,24616.480000,2024/02/07 16:58:30,0.323070,0.579170,0.625240,14.548050,14.113330,25
38.708760,99.940000,20842.390000,2024/02/07 17:00:37,0.356670,0.693790,0.693790,14.428840,14.433330,OC3
38.709760,99.940000,20842.390000,2024/02/07 17:02:03,0.359400,0.727970,0.816840,14.251740,14.480000,OC3
38.710740,99.940000,20842.390000,2024/02/07 17:03:28,0.360000,0.715950,0.764390,14.153220,14.396670,OC3
